timestamp,user,coordinate,pixel_color
2023-07-20 15:56:56.167 UTC,lkA+sbLlP/gT2xaS+oh4LbkDgc5BXZIYdF60Cp8NZsCp+Ly211ad0BDkG9a7MRWPIGBx+NFCnWeKijUJOQRORQ==,"27,-420",#FFD635
2023-07-20 15:56:56.177 UTC,+yB+7vl39s1hLCQruUUSFMMR9e3MeRJObjrgWGg+h0oUa12eDlYPnHK0SqobptVafpHi9quUKJf4TmkAi6C+/w==,"-250,-292",#FF4500
2023-07-20 15:56:56.179 UTC,HS+eWjZjfXjbdubVABxwD2P9yWMEsoPdJpJYJDo/V4xeAoUH9kZdXEIX+I1sR7FXIdcF4pebnmAsc6fFWe7WdA==,"-368,411",#000000
2023-07-20 15:56:56.18 UTC,Jj0shYfa/JX9AZ46mzwviRp8ygXbzduKZXtL0yTDLk/XrazaHP7c96cdy0TV+JHpWiDaEkIUVM+Y1NabolneEg==,"-411,-445",#000000
2023-07-20 15:56:56.182 UTC,uld11GcoH/9X7gcixHQfjo8vNxdKDYP6EjnmiD7niZ94jOt37k5cyvuxqeMlt6e/4rNLcTvrItcx9HzpzsbqZA==,"440,229",#3690EA
2023-07-20 15:56:56.184 UTC,hYI5NQse0gj2w7c10XlV7Rm7Fx968pPIAP74xesHvjjuyBSeq+lU1Sm+FiENP0JbN75VxU3xLiwqNIubmFc8eQ==,"19,-416",#FFD635
2023-07-20 15:56:56.186 UTC,aAcqVxCfMH0uUXBh0/0kLqZ8SM3K/pbeOt49o+UHNIYD61CtxNt8HaFckC++S8RdKloNvEK8udTUG7Yu69qEZQ==,"254,-25",#000000
2023-07-20 15:56:56.187 UTC,XHvf8D73PEK6FqDyi+NGFpSTBFWS2581MEZCkogok4ZzeYp2jmWITcoAlBPlsQX1B60sAPD35yiqjFA8MH1h+A==,"-119,98",#FF4500
2023-07-20 15:56:56.189 UTC,AzpTCoB20ZE6O2brFmiJ0AV0NZRPhiHyRyizr/48Vyh4y41YQ2D5/p+KC1zfLhTOpRUxZa+tdexJpBaHWoM5Gw==,"261,-496",#FFA800
2023-07-20 15:56:56.189 UTC,LqHt9oIQR8tWjsSkB/2U+ePH5kIFDqBZGc/y+5OXebSkx8SzxGFhACTovGo5iooi6cv46piXUFAdEsQduGm9pw==,"-176,307",#B44AC0
2023-07-20 15:56:56.189 UTC,HWjLYwILWWKnV4hl7fSUKxsDsZ7cMCFD2xnLWsTYvujbJ1Pzcr7IA4AhzdpikaQNCumSxsTOMqQ8Hlp6lBTpPQ==,"-389,-376",#FF4500
2023-07-20 15:56:56.191 UTC,oU5uzp6f1G/esbfYcvHuju7FkImST69xlhmqF969dw+5GU5FlXvwVQy39Vhaws5lIzhkP6DQxiRCzMBufx8rMg==,"-374,-75",#FF4500
2023-07-20 15:56:56.191 UTC,MFhpeBYFwJzAuN3f1UUg68afNUninS3TbeZubLo7ckcXR3Gcjdz3ab8CYdEJiNXCu8Kb+9cD4BsgotWFj33JdQ==,"4,-416",#000000
2023-07-20 15:56:56.198 UTC,Ld5foNfdbsUPeqOeAxA98r1k4HVCzT9fubqWQqlvGlWE9bM4BO//rYiCkIwTAUqGT7HTOgp6A/RDwpau76UERw==,"-483,-368",#3690EA
2023-07-20 15:56:56.21 UTC,6B5ZPHvbVqtVGZocyub7WXjB0rGjIzQDz72zdeMBKGjnancd3R5K80D3ew5PLfRgkKIXZCQ4rJNROtjKEFkZtQ==,"8,15",#000000
2023-07-20 15:56:56.215 UTC,A6jKqFZHoBv/siiyrTgcHoYQumcbC/dRPyz0uUnlLqy0gZerHqS7AVJ4BwCGarPsisuZHiFAwx2WNixKEzL/rw==,"467,-98",#00A368
2023-07-20 15:56:56.215 UTC,FBmaPSD3J6rNWfGHFfJSOKWm7rEGRyTSGWcJELETwNOqQmI+LjW6vqfa36qsnkJFFAcNbYtNbN0bSTbryrmhRw==,"461,225",#FFFFFF
2023-07-20 15:56:56.219 UTC,cpQ/Hw6PdDsski+X+ESYpngBGFRsKXvzv3hqpKfrpOC4K3SYzqj26Vf+oqkUbh111VXhdrVv7jMYRV3Qk0p86Q==,"-136,-136",#000000
2023-07-20 15:56:56.219 UTC,D6oqrF5HbFJp2Czx1CUTPcdAB9JNd0Lrn6d7f3Zi0UrfeHM/n7CTrDf0MMgRXm5lKyay4sGz/P3mns2ocXJM6w==,"185,-164",#000000
2023-07-20 15:56:56.223 UTC,HKQ2sEPI2IICJr4pWHWdmGKFY1UJA2SokcpiWjwOBd+rUCvb4e+XLnT0/7uKf9kWNqxQoxYCwkUqRNdAsL84Bg==,"317,-216",#FF4500
2023-07-20 15:56:56.225 UTC,/Oo622OJDa3njGmi1cYHUjaP0nN0wGfH9nKhJFIWEQQ3hL0jWyJY16Zl8rPOgTT0yR52EIIfqldMK86rdIawfw==,"-146,-77",#B44AC0
2023-07-20 15:56:56.225 UTC,FxMTd5dJ+UmQaeCLiEP+LB6D/Rbje8qdwvsPFTwbrYK+23MQNvBJiT1LQOmDk0RUOSugsHxd3bRdnHfrmxVlxg==,"45,11",#000000
2023-07-20 15:56:56.228 UTC,zXdYgu9wwQP4IaYopFXN6dYcSqQszJUErWptQ9Psl5RLFkTTJ15DwdfAHKxIAU6pjezGZahvUtIRr2RPeYWrFg==,"1,-394",#000000
2023-07-20 15:56:56.234 UTC,Do6IKeSHAsv3W/fw2LBbNWwmi9gWzGjiIT9GGS1hY27jlDXTcltIO39rSk1QGaG/8hXQE7opeEz8IABQ/T9wAA==,"-365,408",#FF4500
2023-07-20 15:56:56.235 UTC,vt9S56pKRhYfOiLHS1aqjX0HblhuQZ/yoYZ2cAAoAlS16STolsgXk5ZZ+Skz0jJsaqyLLeZraatNV8kJg4OdGA==,"369,254",#FF4500
2023-07-20 15:56:56.238 UTC,cl1VeI0T+HCUgg4Nsd8/cDh2iodLfWWqFajfFnovE3newYLEWT9kOYdRfWJ1c6BbHwRtEzWOAl/UXAHJzJpHiQ==,"313,95",#000000
2023-07-20 15:56:56.238 UTC,OinYxtxD/tZ7a5ZWyE2Vya4AZ4oJVIVNiUUAUMfxhBzxqB0aJm1/jgJ8tua/dyKutb4H/TVXhxC0lnPpQE6fGA==,"-490,-383",#FFD635
2023-07-20 15:56:56.246 UTC,OB58Yqgk8sALVSHGhC0VTWV0X3XdGMltIIdzyfQl9XWyV9KtFRHZxITEEKiq0znWlWJANDAbpvZaBZ76YHz9jw==,"-106,105",#3690EA
2023-07-20 15:56:56.262 UTC,Do7u3sKtcKgMQAlfyX2ndmsq6zSiRKc0st++G/iNOJQ0vApm2jxY47modK/68B5lThpcl16XBD1S53XXKywFLg==,"437,228",#3690EA
2023-07-20 15:56:56.262 UTC,meUQsfPdLGmX1W5olaqf60IiipP0nluug7xR46im9Ik5GMJd8VfDVz2s/L4tnh5PIX/ySNrKTV+Gb7zyuLfLNA==,"15,-402",#FFD635
2023-07-20 15:56:56.263 UTC,L8quGRFmVuZco4bN2qRj3Y7Ak+GZbUVbMP39NDcSmbdtp4786D03SLI2F9nXvtMOd3S/kCmdQZp0KdIo2Jhe8w==,"-313,91",#000000
2023-07-20 15:56:56.27 UTC,bo5xh/wzXpjPqZohGoye4otmJ//ETTPpc19+oIwYSo3evdEs25+cUNYL4QWU5A/vC1dp6HXW+9iWJN+FXDMddQ==,"9,206",#000000
2023-07-20 15:56:56.272 UTC,eJFkhiuoQ2OBIegEtQdi9FOoHk9hKsfg6KBLeWT2unCrkCHnfZitPhaVf5tcKXvzKdTcrahrvAi/9Xf5mK5hPw==,"-441,-195",#FFFFFF
2023-07-20 15:56:56.275 UTC,MjlgyqwZuW7DckmwaDgIpZwVg1L7f1ywL2M423VgxgVPMBHL06P+amPaS0tvGEa1hqGh+zz+nhkS4mTmb0pn1g==,"-304,408",#000000
2023-07-20 15:56:56.281 UTC,cUTPG0liD+kD21YLLmLTud+hx1g+WNZZbSSKQvmEi4k6XkDm2XpTpR2sOT9rS7rGFWC7ipZLD6WGCRsRo5E6eA==,"401,-186",#000000
2023-07-20 15:56:56.281 UTC,3jEq7TLm+W8Gpiy5jxz/QUI8Er2Wf+VFPYC7ICAOTCmvU8kv0iPWMD0M9AGQ6p+yqiq5gWhHyvcSgLjUPCaROA==,"-352,446",#FFA800
2023-07-20 15:56:56.287 UTC,SUXvNHOnDv+VoCbJAWy46jzhLSw+TtzrJyQoaZUmGjikmaoIqNC/xLucHTgipkQXmZ3hwwU+6YzFkQzk9XmXvA==,"-62,331",#000000
2023-07-20 15:56:56.287 UTC,gOvrDJuE4HYi1lpaq4Qv8tdpomFsyJejsdYxufrxpUfWToigXfElyqhLq7xRHITeu5grmbZ2D5dlsyzgJbaOJw==,"30,-425",#FFD635
2023-07-20 15:56:56.29 UTC,42dzizh6p17ggLdwmWuYfwOEbn8/awlqf8lP2DeXLiPpW5hVbOS/lhpEtgH7SDLrH0EK4QHuqW9w2OfF4dKhXA==,"-215,-410",#FFD635
2023-07-20 15:56:56.29 UTC,vFTdD6ECb6rebkGp+mWlcTRFCzf4ztVP4fnNPcQ4Oc9smikkljJcUwJ+9/AmM1T9h02pAcsqBMacPKY9EB0GFA==,"463,-102",#FF4500
2023-07-20 15:56:56.29 UTC,0G9V+8XjqL2Hg5HNer+8B2umCBonDXFX5nNOfXzyapeSXPMEw4QEyU4PwqQbjkc6VRsOnwPGVa2rEfwlJOl2XQ==,"138,311",#FFFFFF
2023-07-20 15:56:56.292 UTC,fEseJVOLU4oEkGDTbuS4FOw566RjlpGhWGEhSSi3ZuIH4qlr9tpL7JWkd4qHb/Pp7XbCqGasBde/SCDBhUVuTw==,"4,-500",#FFD635
2023-07-20 15:56:56.292 UTC,j4IL/fAwlQ4WBLoieoD2AjEOopALfVXbu/W9zEJgu75JB8IrRUk6ZLvkXKyRIvRZAYOOnHLKnUmRL4s9t4FVoA==,"-409,-59",#FF4500
2023-07-20 15:56:56.293 UTC,0Mpj4rtu6QkRrKIkSmBlhEy2jg9gsInBIuYqNu1HxBDCjh3vttZ6mlAHJtnm2khrse+eX3sgYkH/JJvwDiNJVw==,"-256,-287",#B44AC0
2023-07-20 15:56:56.293 UTC,H/JcmdGy2RBvz/1WsuFxmWpdixwOaAZ31d5pR470OkMSgP42jU2evcMJx5VnZ1EVwlR875xoeojN0djqoekqUw==,"-135,49",#000000
2023-07-20 15:56:56.299 UTC,s/SzYCGls4Y49YRZfXBDITF1gM0oSHHDr6sYB48LVxAtfq//kqkSW/AknMviPOzEm7Wkx4NpvtjxwPMTlPw/QQ==,"102,131",#FFFFFF
2023-07-20 15:56:56.299 UTC,BLwTXKIZGhHlKAwT9ABe1kjUFI8jRNxXiqc02RuN00pWGUKB2iU0yDZXDl3mYBz2pa1fccIr2zWRh/qg6fXW+w==,"472,-64",#3690EA
2023-07-20 15:56:56.299 UTC,L2/D1TlcEcPXu/vQbeQTGjJE5mW+cM3qDwclgzanncSfZF+/uiYVnRfN/t+zT1ojErreQV0e6SXSV7wASvh+JA==,"-439,388",#B44AC0
2023-07-20 15:56:56.304 UTC,pkgrUGntshCDfKp4+sip/UyU3onTZ14tLc+G6f0KfU6VM46EIiuTs9z82njjLFIJ0TZgJsKWhxa2qNg9RTn4pQ==,"-470,-366",#3690EA
2023-07-20 15:56:56.311 UTC,TesVddFMFIZnkqKczMrBC9rgRXs7ENk13i8btWuWmTSVl4T2H7QwCeWRfRJejei9EwLq6/Bu/yOs/rL6Lw0D7w==,"478,-338",#FFA800
2023-07-20 15:56:56.313 UTC,qSCWRbTaTGlwMd1BhfQ3duEhN37JZUUFTJfWYkISomV2JyU/Z8GsqTLyzkRxdyUiIsSzcVFMhbuP9BoG+X1wGg==,"-305,418",#000000
2023-07-20 15:56:56.315 UTC,IpLTmD3PBiXfeHUzhWc2q75oAJaNYAgnxzfFAJg38dgeerjyNXMlBdHq5mMwTwjdT+CkAusycKyBZacpPj0sGg==,"-71,356",#FF4500
2023-07-20 15:56:56.315 UTC,NAlLj0Vx8xS5NPlsryS5pzTpIO+rlwOLISm9BqH+NR2v0nnNZSwgZ8bRN731dw2iIVyNruhYLjCcFV5OB6EJzQ==,"-404,-375",#FFD635
2023-07-20 15:56:56.318 UTC,uovaqFdeHRAH8dDvE3zqILMaKWZxA/4jTALYK6t+53TcMlT36x6qG2WikT+ril+BIRA5nSlPYe16omjf9QiZlA==,"437,490",#FFFFFF
2023-07-20 15:56:56.326 UTC,xHZM/Khu6cDP+Cflpj4Z+R7cMjzwQQovoqXddZG3NtxWli6B+jaEK3AUCqPOkFp/4qt0wbE9o2JcaeqX8ux1hQ==,"-59,222",#3690EA
2023-07-20 15:56:56.326 UTC,vNH5+26DMjtPZqWJXzfwWtEAzw+W0MC0FvVhgPh+UdJisgo5Ci2XV6S991RvbAPoo+5u6XjYHkYYvM2n9Un8Vw==,"-247,-353",#FF4500
2023-07-20 15:56:56.326 UTC,IkMhGTYkfA7MxWRgE76JnjPfHtyJNu7nliRzxeDBR5qw4GElwbiXfIgKdWBfEKRRvs1qtTzHu4U8rnDv01Molw==,"-416,480",#00A368
2023-07-20 15:56:56.327 UTC,rmsm3WcQvSPwILx9A+R+LPuDJU+1pIpXthzKE1Iu4YZUuf2C3BTSNBJAgHFYRBFQhHUDwDGnfsmfGBKm2L4OhA==,"344,-288",#FFA800
2023-07-20 15:56:56.332 UTC,LXu8EET1hIIZLLOLCbgLziQ3FrqRAO/WPRdrwnwNZshymLIw4udvhIuL/hsB/yZ1Hgl/gl6Zw8YgaH4qDnw+CQ==,"280,-353",#000000
2023-07-20 15:56:56.332 UTC,u6cmul4YXruZ/jF4seoKzweHuDY+mhoobusAUgVa21tEvMSJO9d3xs50/bkJIkEK0aDMH5lFDpzMyvAZb2TFRg==,"-104,81",#000000
2023-07-20 15:56:56.335 UTC,BEn7XTxOJiwWaOu1Wnh9Vxj/gEXg5a8J4NBbB3ypYBzLwrFHJrWxGCS5a7s51wLCerTiqNpO2P9e/hx8s3saZw==,"228,343",#FF4500
2023-07-20 15:56:56.34 UTC,9weW7BcL5J/TClYqRY+WyKuVEZFfxftA1jErQWl+EiVNi1zgfsrjcH4PGn8d8Ie07/PztNE31FnhX/2jmZhOwg==,"-371,-63",#FF4500
2023-07-20 15:56:56.343 UTC,4fkcPtVa0DNLNlbAsWiYjslo9h8HaKhGNQN28kY5DGgyhSZ+kysVCEBCnNOSlyfjxmLa09bqWTuUvhffkwYufA==,"-369,410",#3690EA
2023-07-20 15:56:56.343 UTC,Oy0BqcTYF06kJD2s3HTUzMk9nb0HnrF6ktETltnijLuz0lH7laQtj8SeZeya1gEfBzsJsNj0Kpqgn5LwFb5kbg==,"160,12",#FFFFFF
2023-07-20 15:56:56.345 UTC,+lQ1GaSuBWQbEtsZ4GO+BW9XxmjzZh5znIhLRDANAfVnPSHCWKoKh7NY6DPtiStVqyGt2mifyPOA1hLgp6TwQA==,"0,0",#FFFFFF
2023-07-20 15:56:56.345 UTC,vBKktPHw8AInQD7xU7o6KCu/9adxP24PjUgnWopLPWYCGqP0MUL3jwOdYyWb4VkRfUslLNokTSo0fjf9RC62+A==,"321,49",#FF4500
2023-07-20 15:56:56.346 UTC,sFynQVm2juld5lY9IzekjDPg0Ef0NV2tpeoq70TPXduXV79VZ1XwsazkeieO0dMGuSsskwfSKxehfQfPdFWT7Q==,"-335,-349",#000000
2023-07-20 15:56:56.346 UTC,FWqejlu8OSJyifrRvwESn3gmwloGx2PbJ6YDE/RQdqjSKEv7Fl3dISbk341XwWszZ+1kD+1wsYt8AJs9MTXhMA==,"-38,107",#000000
2023-07-20 15:56:56.346 UTC,telBMU6iyDVtJfYPGZFh0ayOxVZWFpJ76YKAK5VRbW+ZUhvF7LDNlIRXoBAkiXcts+eBcqyB+Bsi9Hp5L0YbMA==,"115,183",#FF4500
2023-07-20 15:56:56.346 UTC,XvjJHEuvzij8ZviyHUw+W4MHDjVbWTdA9Wc9YrAnv48EHt/cVb/YvodvYuibckQ9i5rNbDqMXWtlkuOWQLZoBg==,"-428,154",#FFFFFF
2023-07-20 15:56:56.349 UTC,Z5vPdv0urWNXNt+L0Pvl7Qiko7NeNdqUAXocQ9LT/YePW879vFoNe5qPa8ucc5uE2PP0lMoUQ/dptdz+EfjGFA==,"164,264",#000000
2023-07-20 15:56:56.349 UTC,qLoGkmX0SW/wO8KaHvTxea9oHsczrZY1+T7Mlcyyr+ERRDuKIsWrQ7kbH2LllwPwBsMu/6vPpZM/hCKgbCs0PQ==,"288,145",#00A368
2023-07-20 15:56:56.353 UTC,hf5oKZNPvrof9fLomeAmGlpI/+Jn+91ETBWnvNvRLbQoDhcpW4tkbJLfL0YBbAflYAAKmOPvvnySJe5GVBAlzg==,"-432,486",#000000
2023-07-20 15:56:56.353 UTC,oDiKOM8mwRPmy8fZSMhZ2/XCLfdY25VMXzW7NSr5pzsWp8i60xe9em85vj7pTxW0w9kihfg+rh7WIvJyxf68Ig==,"-365,-128",#000000
